plane	u	v	itype	typecode	x0	y0	irot	nvertices	vx_0	vy_0	vx_1	vy_1	vx_2	vy_2	vx_3	vy_3	vx_4	vy_4	vx_5	vy_5	vx_6	vy_6	icassette	trigRate	trigLinks	dataRate_ld	dataLinks_ld	dataRate_hd	dataLinks_hd	MB	wagon	isEngine	nROCs	power	mrot	phi	HDorLD	hash	hash_hdld	engine_trig_fibres	engine_data_fibres	engine_ctrl_fibres	dataPp0	trigPp0	dataPp0_type	trigPp0_type	dataPp1	trigPp1	dataPp1_type	trigPp1_type	dataPp2	DAQ
9	2	10	CM3HTT	CM3HTT	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	2	7.5	EL10W0	EL10W0	-293.37	1093.588	5	W	2	7	2	8	-	-	-	-	-	-	-	-	-	-	2	14	14	7	5	-	-	105	-	1	-	-	-	-	0	-	-	2	1	1	1	"TW.0:WM1.0,TW.1:WM1.1,TW.2:WM1.2,TW.3:WM2.0,TW.4:WM2.1,TW.5:WM3.0,TW.6:EM1.3,TE.0:EM2.3,TE.1:EM2.2,TE.2:EM2.1,TE.3:EM2.0,TE.4:EM1.2,TE.5:EM1.1,TE.6:EM1.0"	"D1.0:WM1.0,D1.1:WM2.0,D1.2:WM3.0,D1.4:EM1.0,D1.5:EM2.0"	TW.6:X.0:EM1.3	-	-	-	-	-	-
11	8	6	WW21D1	WW21D1	791.781	831.949	4	3	8	6	9	7	10	8	-	-	-	ZPHSN0	-	-	-	-	1	7	6	3	3	1	0	5	0	0	0	-	1	-	0	-	-	"TW.0:M1.0,TW.1:M1.1,TW.2:M1.2,TW.3:M2.0,TW.4:M2.1,TW.5:M3.0"	"D1.0:M1.0,D1.1:M2.0,D1.2:M3.0"	0101F3030F2031d10	TW.6:X.0	"TW.0:M1.0,TW.1:M1.1,TW.2:M1.2,TW.3:M2.0,TW.4:M2.1,TW.5:M3.0,TW.6:X.0"	"D1.0:M1.0,D1.1:M2.0,D1.2:M3.0"	-	-	-	-	-	-	-
11	10	8	ZPHSN0	ZPHSN0	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	10	8	CM3HTT	CM3HTT	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	7.5	5.5	EL10W0	EL10W0	800.39	800.86	4	W	7	5	8	6	-	-	-	-	-	-	-	-	-	-	1	14	14	7	5	-	-	5	-	1	-	-	-	-	0	-	-	2	1	1	1	"TW.0:WM1.0,TW.1:WM1.1,TW.2:WM1.2,TW.3:WM2.0,TW.4:WM2.1,TW.5:WM3.0,TW.6:EM1.3,TE.0:EM2.3,TE.1:EM2.2,TE.2:EM2.1,TE.3:EM2.0,TE.4:EM1.2,TE.5:EM1.1,TE.6:EM1.0"	"D1.0:WM1.0,D1.1:WM2.0,D1.2:WM3.0,D1.4:EM1.0,D1.5:EM2.0"	TW.6:X.0:EM1.3	-	-	-	-	-	-
11	2	8	WW21D1	WW21D1	-324.599	1101.677	5	3	2	8	2	9	2	10	-	-	-	ZPHSN0	-	-	-	-	2	7	6	3	3	1	0	105	0	0	0	-	2	-	0	-	-	"TW.0:M1.0,TW.1:M1.1,TW.2:M1.2,TW.3:M2.0,TW.4:M2.1,TW.5:M3.0"	"D1.0:M1.0,D1.1:M2.0,D1.2:M3.0"	0101F3030F2031d10	TW.6:X.0	"TW.0:M1.0,TW.1:M1.1,TW.2:M1.2,TW.3:M2.0,TW.4:M2.1,TW.5:M3.0,TW.6:X.0"	"D1.0:M1.0,D1.1:M2.0,D1.2:M3.0"	-	-	-	-	-	-	-
11	2	10	ZPHSN0	ZPHSN0	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	2	10	CM3HTT	CM3HTT	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
11	2	7.5	EL10W0	EL10W0	-293.37	1093.588	5	W	2	7	2	8	-	-	-	-	-	-	-	-	-	-	2	14	14	7	5	-	-	105	-	1	-	-	-	-	0	-	-	2	1	1	1	"TW.0:WM1.0,TW.1:WM1.1,TW.2:WM1.2,TW.3:WM2.0,TW.4:WM2.1,TW.5:WM3.0,TW.6:EM1.3,TE.0:EM2.3,TE.1:EM2.2,TE.2:EM2.1,TE.3:EM2.0,TE.4:EM1.2,TE.5:EM1.1,TE.6:EM1.0"	"D1.0:WM1.0,D1.1:WM2.0,D1.2:WM3.0,D1.4:EM1.0,D1.5:EM2.0"	TW.6:X.0:EM1.3	-	-	-	-	-	-
13	8	6	WW21D1	WW21D1	791.781	831.949	4	3	8	6	9	7	10	8	-	-	-	ZPHSN0	-	-	-	-	1	7	6	3	3	1	0	5	0	0	0	-	1	-	0	-	-	"TW.0:M1.0,TW.1:M1.1,TW.2:M1.2,TW.3:M2.0,TW.4:M2.1,TW.5:M3.0"	"D1.0:M1.0,D1.1:M2.0,D1.2:M3.0"	0101F3030F2031d10	TW.6:X.0	"TW.0:M1.0,TW.1:M1.1,TW.2:M1.2,TW.3:M2.0,TW.4:M2.1,TW.5:M3.0,TW.6:X.0"	"D1.0:M1.0,D1.1:M2.0,D1.2:M3.0"	-	-	-	-	-	-	-
13	10	8	ZPHSN0	ZPHSN0	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13	10	8	CM3HTT	CM3HTT	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
13	7.5	5.5	EL10W0	EL10W0	800.39	800.86	4	W	7	5	8	6	-	-	-	-	-	-	-	-	-	-	1	14	14	7	5	-	-	5	-	1	-	-	-	-	0	-	-	2	1	1	1	"TW.0:WM1.0,TW.1:WM1.1,TW.2:WM1.2,TW.3:WM2.0,TW.4:WM2.1,TW.5:WM3.0,TW.6:EM1.3,TE.0:EM2.3,TE.1:EM2.2,TE.2:EM2.1,TE.3:EM2.0,TE.4:EM1.2,TE.5:EM1.1,TE.6:EM1.0"	"D1.0:WM1.0,D1.1:WM2.0,D1.2:WM3.0,D1.4:EM1.0,D1.5:EM2.0"	TW.6:X.0:EM1.3	-	-	-	-	-	-
